"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","69","74","6","27.654091","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","56","62","2","22.599434","0","0"
"Globals","0","2852","0","1","0.000000","0","0"
"/SunPosition/Editor/M_ArrowColor.M_ArrowColor","0","12","12","1","6.984251","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.125951","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","16","1","6.605323","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","2.932767","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","11.704229","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","4.022651","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","4.047868","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.904805","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","0.887565","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","3.912799","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","4.021284","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","66","70","1","47.662468","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","92","96","1","59.032188","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","550","598","1","164.796051","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","90","1","32.115250","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","57.974949","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.052405","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","3.348590","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","3.568171","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","12.139917","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","3.629241","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.950786","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","7.112957","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","3.678363","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","49","52","1","22.924669","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","44","44","1","56.932957","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","1.738011","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","17","17","1","3.929938","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","115","115","1","58.286102","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","847","871","1","279.300293","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","33","35","1","15.356678","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","4.439409","0","0"
"","0","1","0","1","0.000000","47","0"
"/Game/ArthursAudioBPs/WIP/BeautifulLightPanel/Glass_Fancy/Mat_Glass_ExtremelyFancy.Mat_Glass_ExtremelyFancy","0","120","120","2","107.845932","0","0"
"/Game/ArthursAudioBPs/Core/PawnsAndGamemodes/Vehicle1/Vehicle/Sedan/Materials/M_Vehicle_Sedan.M_Vehicle_Sedan","0","76","78","2","44.393280","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","3.038402","0","0"
"/Game/GenericRadialMenus/Materials/M_RadialMenu.M_RadialMenu","0","15","15","1","4.977946","0","0"
"/ArthursAudioVisualToolkit/Blueprints/AudioViz/MAT_SimpleMat.MAT_SimpleMat","0","66","66","1","32.969681","0","0"
"/Game/ArthursAudioBPs/MaterialLibrary/Simple/MAT_SimpleMat.MAT_SimpleMat","0","66","66","1","32.420109","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","30.131239","0","0"
"/Game/ArthursAudioBPs/MaterialLibrary/Text/MAT_TextGlow.MAT_TextGlow","0","33","35","1","16.802355","0","0"
"/Game/ArthursAudioBPs/MaterialLibrary/Patterned/MAT_SimpleMatCandyStriped.MAT_SimpleMatCandyStriped","0","66","66","1","40.453873","0","0"
"/Game/ArthursAudioBPs/MaterialLibrary/Transparent/MAT_SimpleMatCandyTransparent.MAT_SimpleMatCandyTransparent","0","136","136","1","90.554558","0","0"
"/Game/ArthursAudioBPs/MaterialLibrary/Patterned/MAT_SimpleMatCandyEdges.MAT_SimpleMatCandyEdges","0","66","66","1","37.668911","0","0"
"/Game/ArthursAudioBPs/Core/PawnsAndGamemodes/FirstPerson1/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","33","33","1","20.483074","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","30","30","1","23.195459","0","0"
"/Game/ArthursAudioBPs/MaterialLibrary/Transparent/MAT_GlassMat.MAT_GlassMat","0","8","8","1","3.846651","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","50","50","1","22.796095","0","0"
"/Game/ArthursAudioBPs/Core/Blueprints/Niagara/MAT_WaterSprite.MAT_WaterSprite","0","72","72","1","44.624626","0","0"
"/Game/ArthursAudioBPs/Core/Blueprints/Niagara/MAT_NiagaraColorMat.MAT_NiagaraColorMat","0","24","24","1","15.327787","0","0"
"/Game/ArthursAudioBPs/WIP/BeautifulLightPanel/MAT_lightpanelCover.MAT_lightpanelCover","0","28","28","1","20.341799","0","0"
"/Game/ArthursAudioBPs/MaterialLibrary/Simple/MAT_SimpleBulbMat.MAT_SimpleBulbMat","0","108","108","1","62.771828","0","0"
"/Game/ArthursAudioBPs/Core/PawnsAndGamemodes/Vehicle1/Vehicle/Meshes/BaseMaterial.BaseMaterial","0","33","33","1","17.868860","0","0"
"/Game/ArthursAudioBPs/Core/PawnsAndGamemodes/FirstPerson1/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","0","70","76","1","27.011923","0","0"
"/Game/ArthursAudioBPs/Core/PawnsAndGamemodes/FirstPerson1/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","70","76","1","25.518934","0","0"
